"","x","y","z"
"1",5.5,1405.5,2.20239758491516
"2",105.5,1405.5,2.4771146774292
"3",205.5,1405.5,2.57988858222961
"4",305.5,1405.5,2.69138026237488
"5",405.5,1405.5,2.76966094970703
"6",505.5,1405.5,2.90675377845764
"7",605.5,1405.5,3.15251612663269
"8",705.5,1405.5,3.31490659713745
"9",805.5,1405.5,3.6148784160614
"10",905.5,1405.5,3.74497842788696
"11",1005.5,1405.5,3.87329936027527
"12",1105.5,1405.5,4.01968002319336
"13",1205.5,1405.5,4.20339393615723
"14",1305.5,1405.5,4.40748023986816
"15",5.5,1305.5,2.22548627853394
"16",105.5,1305.5,2.44521164894104
"17",205.5,1305.5,2.61036252975464
"18",305.5,1305.5,2.66420197486877
"19",405.5,1305.5,2.72915124893188
"20",505.5,1305.5,2.87509775161743
"21",605.5,1305.5,3.13255381584167
"22",705.5,1305.5,3.34659242630005
"23",805.5,1305.5,3.56536674499512
"24",905.5,1305.5,3.74248886108398
"25",1005.5,1305.5,3.89282131195068
"26",1105.5,1305.5,3.96183609962463
"27",1205.5,1305.5,4.11996841430664
"28",1305.5,1305.5,4.41440486907959
"29",5.5,1205.5,2.15375065803528
"30",105.5,1205.5,2.40361762046814
"31",205.5,1205.5,2.57786750793457
"32",305.5,1205.5,2.63909292221069
"33",405.5,1205.5,2.75818824768066
"34",505.5,1205.5,2.94211387634277
"35",605.5,1205.5,3.16305565834045
"36",705.5,1205.5,3.32625770568848
"37",805.5,1205.5,3.5251476764679
"38",905.5,1205.5,3.64607834815979
"39",1005.5,1205.5,3.7981436252594
"40",1105.5,1205.5,3.91615176200867
"41",1205.5,1205.5,4.09922742843628
"42",1305.5,1205.5,4.31265783309937
"43",5.5,1105.5,2.15520095825195
"44",105.5,1105.5,2.30245757102966
"45",205.5,1105.5,2.43673133850098
"46",305.5,1105.5,2.61791753768921
"47",405.5,1105.5,2.72293496131897
"48",505.5,1105.5,2.96062254905701
"49",605.5,1105.5,3.12655329704285
"50",705.5,1105.5,3.28836727142334
"51",805.5,1105.5,3.41895818710327
"52",905.5,1105.5,3.5668203830719
"53",1005.5,1105.5,3.71391487121582
"54",1105.5,1105.5,3.80901622772217
"55",1205.5,1105.5,4.01964855194092
"56",1305.5,1105.5,4.24371290206909
"57",5.5,1005.5,2.06054019927979
"58",105.5,1005.5,2.2599503993988
"59",205.5,1005.5,2.42007780075073
"60",305.5,1005.5,2.55759572982788
"61",405.5,1005.5,2.72962474822998
"62",505.5,1005.5,2.88002514839172
"63",605.5,1005.5,3.11485266685486
"64",705.5,1005.5,3.25029540061951
"65",805.5,1005.5,3.32415151596069
"66",905.5,1005.5,3.47262716293335
"67",1005.5,1005.5,3.64819860458374
"68",1105.5,1005.5,3.7945556640625
"69",1205.5,1005.5,3.93033194541931
"70",1305.5,1005.5,4.13694143295288
"71",5.5,905.5,1.89327311515808
"72",105.5,905.5,2.22198390960693
"73",205.5,905.5,2.38628172874451
"74",305.5,905.5,2.55209565162659
"75",405.5,905.5,2.64553880691528
"76",505.5,905.5,2.84979128837585
"77",605.5,905.5,3.01368856430054
"78",705.5,905.5,3.14235353469849
"79",805.5,905.5,3.23667430877686
"80",905.5,905.5,3.3731517791748
"81",1005.5,905.5,3.57143616676331
"82",1105.5,905.5,3.71150755882263
"83",1205.5,905.5,3.8978443145752
"84",1305.5,905.5,4.15332412719727
"85",5.5,805.5,1.87399125099182
"86",105.5,805.5,2.15654373168945
"87",205.5,805.5,2.41112542152405
"88",305.5,805.5,2.5313081741333
"89",405.5,805.5,2.70447158813477
"90",505.5,805.5,2.83021998405457
"91",605.5,805.5,2.95387673377991
"92",705.5,805.5,3.12007832527161
"93",805.5,805.5,3.29192972183228
"94",905.5,805.5,3.3475546836853
"95",1005.5,805.5,3.53537631034851
"96",1105.5,805.5,3.6839325428009
"97",1205.5,805.5,3.85308170318604
"98",1305.5,805.5,4.13777685165405
"99",5.5,705.5,1.94829714298248
"100",105.5,705.5,2.106778383255
"101",205.5,705.5,2.37912011146545
"102",305.5,705.5,2.52242684364319
"103",405.5,705.5,2.63213419914246
"104",505.5,705.5,2.80188798904419
"105",605.5,705.5,2.93614745140076
"106",705.5,705.5,3.05714392662048
"107",805.5,705.5,3.21879148483276
"108",905.5,705.5,3.38383388519287
"109",1005.5,705.5,3.56252717971802
"110",1105.5,705.5,3.65555024147034
"111",1205.5,705.5,3.89011573791504
"112",1305.5,705.5,4.02301406860352
"113",5.5,605.5,1.9309298992157
"114",105.5,605.5,2.08548188209534
"115",205.5,605.5,2.24705505371094
"116",305.5,605.5,2.43592500686646
"117",405.5,605.5,2.60105895996094
"118",505.5,605.5,2.78495311737061
"119",605.5,605.5,2.92053914070129
"120",705.5,605.5,3.01479697227478
"121",805.5,605.5,3.20427894592285
"122",905.5,605.5,3.34437704086304
"123",1005.5,605.5,3.58342504501343
"124",1105.5,605.5,3.71453738212585
"125",1205.5,605.5,3.83774161338806
"126",1305.5,605.5,4.03075218200684
"127",5.5,505.5,1.79498875141144
"128",105.5,505.5,2.02418255805969
"129",205.5,505.5,2.11282229423523
"130",305.5,505.5,2.32549810409546
"131",405.5,505.5,2.51777625083923
"132",505.5,505.5,2.67491912841797
"133",605.5,505.5,2.80410480499268
"134",705.5,505.5,2.95638370513916
"135",805.5,505.5,3.21016788482666
"136",905.5,505.5,3.39589428901672
"137",1005.5,505.5,3.56400489807129
"138",1105.5,505.5,3.70476245880127
"139",1205.5,505.5,3.85821151733398
"140",1305.5,505.5,4.04013729095459
"141",5.5,405.5,1.74971199035645
"142",105.5,405.5,1.83016467094421
"143",205.5,405.5,2.04011392593384
"144",305.5,405.5,2.20140218734741
"145",405.5,405.5,2.44291615486145
"146",505.5,405.5,2.63927435874939
"147",605.5,405.5,2.79447913169861
"148",705.5,405.5,2.98365664482117
"149",805.5,405.5,3.22266840934753
"150",905.5,405.5,3.38637495040894
"151",1005.5,405.5,3.47932410240173
"152",1105.5,405.5,3.66893696784973
"153",1205.5,405.5,3.79090261459351
"154",1305.5,405.5,3.99999451637268
"155",5.5,305.5,1.75690281391144
"156",105.5,305.5,1.90832018852234
"157",205.5,305.5,2.07593250274658
"158",305.5,305.5,2.26249718666077
"159",405.5,305.5,2.3899450302124
"160",505.5,305.5,2.63788247108459
"161",605.5,305.5,2.86278080940247
"162",705.5,305.5,3.05544662475586
"163",805.5,305.5,3.19980978965759
"164",905.5,305.5,3.37529468536377
"165",1005.5,305.5,3.44470882415771
"166",1105.5,305.5,3.59890079498291
"167",1205.5,305.5,3.75432181358337
"168",1305.5,305.5,3.8984694480896
"169",5.5,205.5,1.67447376251221
"170",105.5,205.5,1.8758065700531
"171",205.5,205.5,2.0616774559021
"172",305.5,205.5,2.1993260383606
"173",405.5,205.5,2.42973065376282
"174",505.5,205.5,2.64142179489136
"175",605.5,205.5,2.81397390365601
"176",705.5,205.5,3.05626678466797
"177",805.5,205.5,3.2072217464447
"178",905.5,205.5,3.32189679145813
"179",1005.5,205.5,3.37885141372681
"180",1105.5,205.5,3.50182700157166
"181",1205.5,205.5,3.68337893486023
"182",1305.5,205.5,3.84074139595032
"183",5.5,105.5,1.61373817920685
"184",105.5,105.5,1.7845983505249
"185",205.5,105.5,2.03821706771851
"186",305.5,105.5,2.2045111656189
"187",405.5,105.5,2.32124876976013
"188",505.5,105.5,2.57919669151306
